1	Agência de passeios
2	Baile de Máscaras
3	Balada
4	Banco
5	Biblioteca / Livraria
6	Casa para alugar
7	Corpo de Bombeiros
8	Delegacia
9	Enoteca
10	Escola de ensino médio
11	Escola de italiano
12	Escola de primário
13	Escritório de Advocacia
14	Farmácia
15	Galeria
16	Hospital
17	Hotel
18	Igreja
19	Joalheria
20	Lan House
21	Lixão e incineradora
22	Loja de roupa
23	Loja que vende barco
24	Mecânica de barco
25	Universidade
26	Museu
27	Pontos turísticos chave
28	Posto de gasolina para barco
29	Prefeitura
30	Restaurante
31	Rodoviária
32	Salão de Beleza
33	Supermercado
34	Tabacaria
35	Tatoo/Piercing Studio
36	Ponto de Prostituição
\.


